country,date,movility_reduction,deaths,pop,pct,movility_in_t_minus_23
Italy,2020-04-17,30.571428571428573,22745,60769102,0.025935949481280973,30.142857142857142
Italy,2020-04-18,30.428571428571427,23227,60769102,0.021191470652890843,30.714285714285715
Italy,2020-04-19,30.142857142857142,23660,60769102,0.01864209755887547,31.285714285714285
Italy,2020-04-20,28.571428571428573,24114,60769102,0.019188503803888368,31.428571428571427
Italy,2020-04-21,28.428571428571427,24648,60769102,0.022144812142324,31.428571428571427
Italy,2020-04-22,28.428571428571427,25085,60769102,0.01772963323596244,31.428571428571427
Italy,2020-04-23,28.285714285714285,25549,60769102,0.018497109826589586,31.571428571428573
Italy,2020-04-24,27.857142857142858,25969,60769102,0.016438999569454715,31.428571428571427
Italy,2020-04-25,28.285714285714285,26384,60769102,0.015980592244599245,31.285714285714285
Italy,2020-04-26,28.142857142857142,26644,60769102,0.009854457246816217,31.142857142857142
Italy,2020-04-27,27.714285714285715,26977,60769102,0.012498123404894201,31.142857142857142
Italy,2020-04-28,27.285714285714285,27359,60769102,0.014160210549727603,31.142857142857142
Italy,2020-04-29,26.857142857142858,27682,60769102,0.011805987060930612,31.0
Italy,2020-04-30,26.285714285714285,27967,60769102,0.010295498880138698,30.714285714285715
Italy,2020-05-01,28.0,28236,60769102,0.009618478921586071,30.428571428571427
Italy,2020-05-02,27.285714285714285,28710,60769102,0.01678708032299192,30.142857142857142
Jamaica,2020-02-15,1.0,0,2717991,,
Jamaica,2020-02-16,0.5,0,2717991,,
Jamaica,2020-02-17,0.6666666666666666,0,2717991,,
Jamaica,2020-02-18,0.5,0,2717991,,
Jamaica,2020-02-19,0.6,0,2717991,,
Jamaica,2020-02-20,0.5,0,2717991,,
Jamaica,2020-02-21,0.5714285714285714,0,2717991,,
Jamaica,2020-02-22,0.5714285714285714,0,2717991,,
Jamaica,2020-02-23,0.7142857142857143,0,2717991,,
Jamaica,2020-02-24,0.7142857142857143,0,2717991,,
Jamaica,2020-02-25,0.42857142857142855,0,2717991,,
Jamaica,2020-02-26,2.857142857142857,0,2717991,,
Jamaica,2020-02-27,3.142857142857143,0,2717991,,
Jamaica,2020-02-28,3.4285714285714284,0,2717991,,
Jamaica,2020-02-29,3.4285714285714284,0,2717991,,
Jamaica,2020-03-01,3.2857142857142856,0,2717991,,
Jamaica,2020-03-02,3.142857142857143,0,2717991,,
Jamaica,2020-03-03,3.4285714285714284,0,2717991,,
Jamaica,2020-03-04,0.8571428571428571,0,2717991,,
Jamaica,2020-03-05,0.5714285714285714,0,2717991,,
Jamaica,2020-03-06,0.14285714285714285,0,2717991,,
Jamaica,2020-03-07,0.0,0,2717991,,
